Species,Season,Organ,Fish weight (g),Fish length (cm),Al,As,Cd,Cr,Cu,Fe,Mn,Pb,Sb,Se,Sr,Zn
Oreochromis mossambicus,Winter,Gill,502.25,29.1,320.04,0.9684,0.0143,0.563,1.0091,252.7,108.41,1.6577,,4.0895,165.93,59.366
Oreochromis mossambicus,Winter,Gill,413.84,27.1,411.17,0.4379,,0.6698,1.1783,335.33,65.048,1.537,,,119.87,50.971
Oreochromis mossambicus,Winter,Gill,313.79,25.4,486.31,0.7382,0.0132,0.8812,1.3257,411.47,93.125,2.7121,,8.5707,134.32,55.346
Oreochromis mossambicus,Winter,Gill,349.7,26.1,202.08,0.6657,0.0185,0.2404,1.3852,172.6,65.061,1.9547,,7.157,155.23,56.183
Oreochromis mossambicus,Winter,Gill,295.28,24.9,583.11,0.2921,0.0175,0.4741,1.5366,307.29,76.549,1.7076,0.1563,1.0696,132.04,53.314
Oreochromis mossambicus,Winter,Gill,280.14,24.5,768.08,0.3861,0.1435,1.9833,2.3171,622.84,98.833,2.0212,,,166.97,64.259
Oreochromis mossambicus,Winter,Gill,285.4,24.5,923.04,,0.0136,0.7826,1.5313,512.8,120.87,1.7705,,,156.25,56.508
Oreochromis mossambicus,Winter,Gill,386.73,27.6,596.36,0.3524,0.0194,0.6464,1.0367,374.65,63.874,1.6052,,,131.49,50.172
Oreochromis mossambicus,Winter,Gill,264.72,24.3,203.83,0.8745,0.0136,0.9836,1.9835,374.94,70.027,1.6738,0.2083,5.9353,134.03,55.474
Oreochromis mossambicus,Winter,Muscle,899.6,37.2,41.975,3.1952,0.0273,0.2119,1.4112,14.991,,0.0508,0.1854,2.1123,0.2759,20.355
Oreochromis mossambicus,Winter,Muscle,502.25,29.1,31.169,0.373,0.0157,0.2107,0.7236,19.281,,0.0331,,,0.4225,21.73
Oreochromis mossambicus,Winter,Muscle,413.84,27.1,9.0927,0.0758,0.0124,0.1931,0.6698,7.3941,,0.0515,,,1.732,17.258
Oreochromis mossambicus,Winter,Muscle,313.79,25.4,18.193,2.3153,0.023,0.1049,0.6373,18.593,,0.1631,0.1322,0.0573,3.0933,15.187
Oreochromis mossambicus,Winter,Muscle,295.28,24.9,14.394,0.5625,0.0172,0.1323,0.819,17.193,,0.0307,,2.5623,0.8339,19.936
Oreochromis mossambicus,Winter,Muscle,280.14,24.5,14.491,0.2875,0.0143,0.0672,0.7967,15.99,,0.0489,,1.8036,0.5962,19.805
Oreochromis mossambicus,Winter,Muscle,285.4,24.5,14.694,0.1291,0.0158,0.0357,0.5131,9.3962,,0.0357,,1.0163,2.0624,20.031
Oreochromis mossambicus,Winter,Muscle,386.73,27.6,11.098,0.0797,,0.0304,0.5055,9.0982,,0.0114,,,0.6751,18.258
Oreochromis mossambicus,Winter,Muscle,264.72,24.3,14.594,0.0737,,0.2822,0.6652,13.495,,0.0122,,,0.965,16.826
Labeo rosa,Summer,Liver,403.3,31.12,20.596,,0.0179,0.0577,0.6203,14.097,,0.0864,,,0.6878,20.662
Labeo rosa,Summer,Liver,391.82,32.85,110.53,0.8591,1.8438,0.4796,366.84,2416.9,10.468,0.1809,0.1996,10.519,1.054,110.05
Labeo rosa,Summer,Liver,489.72,35.67,209.81,,0.4272,0.6538,304.84,3459.5,19.925,0.1231,,10.484,1.0244,120.68
Labeo rosa,Summer,Liver,362.05,31.3,277.14,,0.6477,0.4443,163.38,10410,21.024,0.3698,,5.774,2.837,193.01
Labeo rosa,Summer,Liver,301.59,30.3,149.12,,2.8764,0.2628,1319.9,4825.1,12.592,0.3525,,34.086,0.6619,168.59
Labeo rosa,Summer,Liver,477.9,34.6,245.33,,1.3326,0.5863,817.04,3089.5,8.9237,0.3956,,31.138,1.7868,276.72
